"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NPIL_151991",7.5566405121167,0.409890410181397,2.87518801699704,0.142561254345204,0.886636699398017,NA
"NPIL_152001",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
"NPIL_259511",1.64885044821043,-0.336125246571304,4.18871726521573,-0.0802453890508633,0.936042091288012,NA
"NPIL_433621",0,NA,NA,NA,NA,NA
"NPIL_138351",0,NA,NA,NA,NA,NA
"NPIL_601731",0,NA,NA,NA,NA,NA
"NPIL_484251",8.02393294754588,0.217227731303217,2.85202689936197,0.0761660878275071,0.939286962283258,NA
"NPIL_486611",0,NA,NA,NA,NA,NA
"NPIL_486621",0,NA,NA,NA,NA,NA
"NPIL_537761",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
"NPIL_579751",17.2521067245222,1.1729643056522,2.07140266137397,0.566265713337538,0.571213164470234,NA
"NPIL_299801",0,NA,NA,NA,NA,NA
"NPIL_613411",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
"NPIL_613421",0.590779006390627,0.718528232709588,4.93091708081998,0.145718985116274,0.884143233392496,NA
"NPIL_232541",0.780733489513492,-0.166238396937334,4.8380418146675,-0.0343606779985549,0.972589539354021,NA
"NPIL_316801",0,NA,NA,NA,NA,NA
"NPIL_316811",0,NA,NA,NA,NA,NA
"NPIL_316821",11.021155034563,-3.85393527938707,2.40156620862348,-1.60475912158843,0.108546825336582,NA
"NPIL_539421",0,NA,NA,NA,NA,NA
"NPIL_81010",0,NA,NA,NA,NA,NA
"NPIL_81011_1",0,NA,NA,NA,NA,NA
"NPIL_302151",3.10209661590773,2.66951339933681,3.49054047425218,0.764785115379223,0.444399512539935,NA
"NPIL_302161",0,NA,NA,NA,NA,NA
"NPIL_302171",0,NA,NA,NA,NA,NA
"NPIL_302181",0,NA,NA,NA,NA,NA
"NPIL_302191",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
"NPIL_302201",0,NA,NA,NA,NA,NA
"NPIL_257611",0,NA,NA,NA,NA,NA
"NPIL_257641",0,NA,NA,NA,NA,NA
"NPIL_257652",0.467292435429179,-2.25845814124671,4.88771588055021,-0.462068212727717,0.644032404569973,NA
"NPIL_257651",0,NA,NA,NA,NA,NA
"NPIL_257671",0,NA,NA,NA,NA,NA
"NPIL_257672",0,NA,NA,NA,NA,NA
"NPIL_257681",0,NA,NA,NA,NA,NA
"NPIL_415871",0,NA,NA,NA,NA,NA
"NPIL_81013",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
"NPIL_81012",0,NA,NA,NA,NA,NA
"NPIL_407441",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
"NPIL_445911",0.535699183014056,2.75986220808976,4.89382262762373,0.563948148122779,0.572789420969672,NA
"NPIL_588191",0,NA,NA,NA,NA,NA
"NPIL_324931",0,NA,NA,NA,NA,NA
"NPIL_35101",0,NA,NA,NA,NA,NA
"NPIL_35111",0,NA,NA,NA,NA,NA
"NPIL_593911",2.48660259652395,1.38223776724225,3.67932882449509,0.375676606570204,0.707157331325916,NA
"NPIL_494431",0,NA,NA,NA,NA,NA
"NPIL_285151",0,NA,NA,NA,NA,NA
"NPIL_81014",0,NA,NA,NA,NA,NA
"NPIL_36121",0,NA,NA,NA,NA,NA
"NPIL_36131",0,NA,NA,NA,NA,NA
"NPIL_36141",0,NA,NA,NA,NA,NA
"NPIL_599611",0.178566394338018,1.55131424150791,4.97022905258203,0.312121277529857,0.754948356598089,NA
"NPIL_599621",0,NA,NA,NA,NA,NA
"NPIL_404731",14.0533074209699,1.73315018409803,2.39702379257365,0.723042545287868,0.469653746001793,NA
"NPIL_404741",2.78865556182342,2.3451303385054,3.58796739193935,0.653609713336282,0.513363284681208,NA
"NPIL_404751",0,NA,NA,NA,NA,NA
"NPIL_404761",2.67849591507028,5.04881325475067,4.02076676765804,1.2556841882404,0.209230494188049,NA
"NPIL_191571",0,NA,NA,NA,NA,NA
"NPIL_544511",0,NA,NA,NA,NA,NA
"NPIL_202601",4.3006925148641,-0.216861912405319,3.18811525319458,-0.0680219801301153,0.945768137192678,NA
"NPIL_202611",1.9642303377182,4.60306249556708,4.40508370275195,1.04494325333511,0.296049197395289,NA
"NPIL_202661",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
"NPIL_202671",5.66368606768066,0.606851092852505,2.66678593852325,0.227558981801349,0.819989111093234,NA
"NPIL_202681",0.357132788676037,2.21225547141107,4.93951806329321,0.447868687403108,0.654247967921518,NA
