"","NPFM1","NPFM2","NPFM3","NPFM4"
"NPIL_80811",0,0,0,0
"NPIL_80812",0,0,0,0
"NPIL_80228",2.10881939256491,0,0.840645836895051,2.58791294865304
"NPIL_80229",1.2964208283616,4.65085216873947,1.47656182285642,4.16677137035861
"NPIL_80230",0,0,0,0
"NPIL_80814",0,0,0,0
"NPIL_80813",0,0,0,0
"NPIL_80815",0,0,0,0
"NPIL_80816",0,64.982740024332,0,95.2675454222901
"NPIL_80817",0,0,0,0
"NPIL_80818",0,0,0,0
"NPIL_80819",0,0,41.2616998275988,0
"NPIL_80820",0,0,0,0
"NPIL_80827",0,29.2879955039243,0,0
"NPIL_80821",0,0,0,0
"NPIL_80822",0,0,0,0
"NPIL_80823",0,0,0,0
"NPIL_80824",0,0,0,0
"NPIL_80825",0,0,0,0
"NPIL_80826",0,0,0,0
"NPIL_80828",0,0,0,0
"NPIL_80829",0,0,0,0
"NPIL_80830",0,0,40.6964710628371,0
"NPIL_80831",0,0,0,0
"NPIL_80833",0,0,0,0
"NPIL_80832",0,0,20.3482355314186,0
"NPIL_80835",0,0,0,0
"NPIL_80834",0,0,0,0
"NPIL_80837",0,0,0,0
"NPIL_80836",30.6269906848948,0,0,0
"NPIL_80155",0,0,0,0
"NPIL_80841",0,0,0,0
"NPIL_80838",0,0,0,0
"NPIL_80839",0,0,0,0
"NPIL_80840",0,0,0,0
"NPIL_80851",0,0,0,0
"NPIL_80842",0,0,0,0
"NPIL_80850",0,0,0,0
"NPIL_80849",0,0,0,0
"NPIL_80843",0,0,0,0
"NPIL_80844",0,0,0,0
"NPIL_80845",0,0,0,0
"NPIL_80848",0,0,0,0
"NPIL_80847",0,0,0,0
"NPIL_80846",0,0,0,0
"NPIL_80852",0,0,60.2197781267658,0
"NPIL_80853",0,0,0,0
"NPIL_80854",0,0,49.5140397931185,0
"NPIL_80856",0,0,0,0
"NPIL_80855",0,0,20.6308499137994,0
"NPIL_80857",0,0,0,0
"NPIL_80858",0,0,0,0
"NPIL_80859",0,0,0,0
"NPIL_80860",0,0,0,0
"NPIL_80224",0,0,0,0
"NPIL_80225",0,0,0,0
"NPIL_80862",0,0,19.8056159172474,0
"NPIL_80861",0,0,20.0732593755886,0
"NPIL_80863",0,0,0,0
"NPIL_80864",0,0,0,0
"NPIL_80866",0,0,0,0
"NPIL_80865",0,0,0,0
"NPIL_80867",0,0,61.8925497413981,0
"NPIL_80868",10.2089968949649,0,20.3482355314186,0
"NPIL_80872",0,0,0,0
"NPIL_80871",0,0,0,0
"NPIL_80870",0,0,0,0
"NPIL_80869",0,0,0,0
"NPIL_80873",0,0,0,0
"NPIL_80874",0,0,0,0
"NPIL_80875",0,0,0,0
"NPIL_80876",0,0,0,0
"NPIL_80884",0,0,20.3482355314186,0
"NPIL_80883",0,0,0,0
"NPIL_80882",0,0,0,0
"NPIL_80881",0,0,0,0
"NPIL_80880",10.0710374774654,28.1006443348463,0,0
"NPIL_80877",0,205.01596852747,62.7642757940939,0
"NPIL_80879",0,0,40.6964710628371,0
"NPIL_80878",0,0,0,0
"NPIL_80885",0,0,35.3671712807989,0
"NPIL_80886",0,0,0,0
"NPIL_80887",0,0,0,0
"NPIL_80888",0,0,0,0
"NPIL_80889",0,0,41.2616998275988,0
"NPIL_80205",0,0,0,0
"NPIL_80891",0,56.2012886696926,40.1465187511772,41.1967763988282
"NPIL_80890",0,0,0,0
"NPIL_80900",0,0,0,0
"NPIL_80892",0,0,61.0447065942557,0
"NPIL_80893",0,0,0,0
"NPIL_80894",0,0,20.3482355314186,0
"NPIL_80895",0,85.456754004601,61.0447065942557,0
"NPIL_80896",0,0,20.3482355314186,0
"NPIL_80897",0,28.4855846682003,0,0
"NPIL_80899",0,0,0,0
"NPIL_80898",0,0,0,0
"NPIL_80902",0,113.942338672801,0,0
"NPIL_80901",0,0,144.415949396596,0
"NPIL_80905",0,0,0,0
"NPIL_80903",0,0,0,0
"NPIL_80904",0,0,0,0
"NPIL_80906",0,0,0,0
"NPIL_80909",0,0,0,0
"NPIL_80908",0,0,0,0
"NPIL_80907",0,0,0,0
"NPIL_80910",0,0,0,0
"NPIL_80911",0,0,0,0
"NPIL_80912",0,0,62.5440502649918,0
"NPIL_80917",0,0,0,0
"NPIL_80916",0,0,18.1148926072385,0
"NPIL_80913",0,0,18.1148926072385,0
"NPIL_80914",0,0,0,0
"NPIL_80915",0,0,163.034033465146,0
"NPIL_80918",0,0,0,0
"NPIL_80923",0,0,0,0
"NPIL_80922",0,0,0,0
"NPIL_80921",0,0,0,0
"NPIL_80919",20.4179937899299,0,0,0
"NPIL_80920",0,0,20.3482355314186,0
"NPIL_80924",0,0,0,0
"NPIL_80158",0,217.616617755903,0,0
"NPIL_80925",0,0,0,0
"NPIL_80926",0,0,81.3929421256743,0
"NPIL_80927",0,0,61.0447065942557,0
"NPIL_80928",0,0,101.741177657093,0
"NPIL_80929",0,0,41.2616998275988,0
"NPIL_80930",0,0,0,0
"NPIL_80931",0,0,0,0
"NPIL_80932",0,0,0,0
"NPIL_80937",0,0,0,0
"NPIL_80936",0,0,0,0
"NPIL_80935",0,57.762435577184,41.2616998275988,0
"NPIL_80934",0,0,0,0
"NPIL_80933",0,0,0,0
"NPIL_80939",0,0,165.046799310395,0
"NPIL_80938",0,0,0,0
"NPIL_80940",0,0,0,0
"NPIL_80941",0,0,0,0
"NPIL_80942",0,0,0,0
"NPIL_80943",0,0,20.3482355314186,0
"NPIL_80944",0,0,66.7605030918452,0
"NPIL_80945",0,0,0,0
"NPIL_80946",0,0,0,0
"NPIL_80951_1",0,0,0,0
"NPIL_80947",0,0,0,0
"NPIL_80950",9.08849723576147,25.3591180582759,72.4595704289539,0
"NPIL_80949",0,0,0,0
"NPIL_80948",0,49.5106590661577,88.4179282019973,0
"NPIL_80952",0,115.524871154368,0,0
"NPIL_80953",0,0,0,0
"NPIL_80955",0,0,0,0
"NPIL_80954",0,0,0,0
"NPIL_80956",0,0,0,0
"NPIL_80957",0,0,41.2616998275988,0
"NPIL_80959",0,0,0,0
"NPIL_80958",0,0,0,0
"NPIL_80960",0,0,0,0
"NPIL_80961",0,0,0,0
"NPIL_80962",0,0,0,0
"NPIL_80963",0,0,0,0
"NPIL_80964",0,0,0,0
"NPIL_80965",0,0,0,0
"NPIL_80967",0,0,0,0
"NPIL_80966",0,0,0,0
"NPIL_80968",0,0,203.482355314186,0
"NPIL_80969",0,0,223.830590845604,0
"NPIL_80970",0,0,651.143537005394,20.8805579007759
"NPIL_80971",0,0,529.054123816883,62.6416737023277
"NPIL_80972",0,0,0,0
"NPIL_80973",0,0,0,0
"NPIL_80974",0,0,0,0
"NPIL_80235",0,0,0,0
"NPIL_80976",0,0,0,0
"NPIL_80975",0,57.762435577184,0,0
"NPIL_80977",0,0,0,0
"NPIL_80245",0,0,0,0
"NPIL_80978",0,0,0,0
"NPIL_80247",0,0,4.95967009613875,0
"NPIL_80979",0,0,0,0
"NPIL_80980",0,0,0,0
"NPIL_80981",0,0,0,0
"NPIL_80989",0,0,0,0
"NPIL_80982",0,0,0,0
"NPIL_80983",0,0,0,0
"NPIL_80988",0,0,0,0
"NPIL_80984",0,0,0,0
"NPIL_80987",0,0,0,0
"NPIL_80986",0,0,0,0
"NPIL_80985",0,0,0,0
"NPIL_80269",0,0,0,0
"NPIL_80990",0,0,0,0
"NPIL_80991_1",0,0,0,0
"NPIL_80992",0,0,0,0
"NPIL_80993",0,0,0,0
"NPIL_80994",0,0,0,0
"NPIL_80995",0,0,20.6308499137994,0
"NPIL_80996",0,0,0,0
"NPIL_80997",0,0,0,0
"NPIL_80998",0,0,0,0
"NPIL_80999",0,0,41.2616998275988,0
"NPIL_81000",0,0,0,0
"NPIL_81001_1",0,0,81.3929421256743,0
"NPIL_81002",0,0,0,0
"NPIL_81008",0,0,0,0
"NPIL_81007",0,0,0,0
"NPIL_81006",0,0,0,0
"NPIL_81005",0,0,0,0
"NPIL_81004",0,0,0,0
"NPIL_81003",0,0,0,0
"NPIL_81009",0,0,0,0
"NPIL_81010",0,0,0,0
"NPIL_81011_1",0,0,0,0
"NPIL_81013",0,0,36.229785214477,0
"NPIL_81012",0,0,0,0
"NPIL_81014",0,0,0,0
"NPIL_81015",0,56.9711693364007,203.482355314186,0
"NPIL_81016",0,0,1017.41177657093,0
"NPIL_81017",0,0,0,0
"NPIL_81018",0,0,0,0
"NPIL_81019",0,0,0,0
"NPIL_81020",0,0,82.5233996551975,0
"NPIL_81021",0,0,61.0447065942557,0
"NPIL_81022",0,0,20.6308499137994,0
"NPIL_81023",0,0,0,20.8805579007759
"NPIL_81024",0,0,0,0
"NPIL_81026",0,0,35.793281778158,0
"NPIL_81025",0,0,17.896640889079,0
"NPIL_81027",0,0,103.154249568997,0
"NPIL_81028",0,56.2012886696926,180.659334380297,0
"NPIL_81029",0,0,0,0
"NPIL_81030",0,0,0,0
"NPIL_81031",0,0,122.089413188511,0
"NPIL_81032",0,0,0,0
"NPIL_81034",0,0,0,0
"NPIL_81033",0,0,40.6964710628371,0
