Pathway_ID,Pathway_Name,Gene_Count
ko04610,Pathway (ko04610),23
map04610,Pathway (map04610),23
ko04130,Pathway (ko04130),23
map04130,Pathway (map04130),23
ko01040,Pathway (ko01040),22
map01040,Pathway (map01040),22
map04710,Circadian rhythm,22
ko04710,Circadian rhythm,22
map05221,Pathway (map05221),22
ko05221,Pathway (ko05221),22
map04330,Pathway (map04330),22
ko04330,Pathway (ko04330),22
map04623,Pathway (map04623),21
ko04623,Pathway (ko04623),21
map05140,Pathway (map05140),21
ko05140,Pathway (ko05140),21
ko04662,Pathway (ko04662),21
map04662,Pathway (map04662),21
ko04614,Pathway (ko04614),21
map04614,Pathway (map04614),21
map00521,Pathway (map00521),20
ko00521,Pathway (ko00521),20
map01210,Pathway (map01210),20
ko01210,Pathway (ko01210),20
map05220,Pathway (map05220),20
ko05220,Pathway (ko05220),20
map00710,Pathway (map00710),20
ko00710,Pathway (ko00710),20
ko00140,Pathway (ko00140),20
map00140,Pathway (map00140),20
ko00950,Pathway (ko00950),20
map00950,Pathway (map00950),20
ko04215,Pathway (ko04215),19
map04215,Pathway (map04215),19
map03060,Pathway (map03060),19
ko03060,Pathway (ko03060),19
map00910,Pathway (map00910),19
ko00910,Pathway (ko00910),19
map00220,Pathway (map00220),19
ko00220,Pathway (ko00220),19
map00670,Pathway (map00670),19
ko00670,Pathway (ko00670),19
ko05213,Pathway (ko05213),19
map05213,Pathway (map05213),19
ko02024,Pathway (ko02024),19
map02024,Pathway (map02024),19
ko00860,Pathway (ko00860),18
map00860,Pathway (map00860),18
ko05219,Pathway (ko05219),18
map05219,Pathway (map05219),18
ko04060,Pathway (ko04060),17
map04060,Pathway (map04060),17
ko00360,Pathway (ko00360),17
map00360,Pathway (map00360),17
map04966,Pathway (map04966),17
ko04966,Pathway (ko04966),17
map00592,Pathway (map00592),16
ko00592,Pathway (ko00592),16
map04016,Pathway (map04016),16
ko04016,Pathway (ko04016),16
map00340,Pathway (map00340),16
ko00340,Pathway (ko00340),16
ko00563,Pathway (ko00563),15
map00563,Pathway (map00563),15
ko00740,Pathway (ko00740),14
map00740,Pathway (map00740),14
map00515,Pathway (map00515),13
ko00515,Pathway (ko00515),13
map04950,Pathway (map04950),12
ko04950,Pathway (ko04950),12
ko00073,Pathway (ko00073),12
map00073,Pathway (map00073),12
map04626,Pathway (map04626),11
ko04626,Pathway (ko04626),11
ko00130,Pathway (ko00130),11
map00130,Pathway (map00130),11
map01220,Pathway (map01220),11
ko01220,Pathway (ko01220),11
ko03070,Pathway (ko03070),11
map03070,Pathway (map03070),11
ko00534,Pathway (ko00534),10
map00534,Pathway (map00534),10
map00450,Pathway (map00450),10
ko00450,Pathway (ko00450),10
map05144,Pathway (map05144),9
ko05144,Pathway (ko05144),9
ko04940,Pathway (ko04940),9
map04940,Pathway (map04940),9
ko04744,Pathway (ko04744),9
map04744,Pathway (map04744),9
ko00531,Pathway (ko00531),9
map00531,Pathway (map00531),9
map00930,Pathway (map00930),9
ko00930,Pathway (ko00930),9
ko00460,Pathway (ko00460),9
map00460,Pathway (map00460),9
ko00053,Pathway (ko00053),9
map00053,Pathway (map00053),9
map00514,Pathway (map00514),9
ko00514,Pathway (ko00514),9
map02026,Pathway (map02026),9
ko02026,Pathway (ko02026),9
map00780,Pathway (map00780),9
ko00780,Pathway (ko00780),9
map00430,Pathway (map00430),9
ko00430,Pathway (ko00430),9
map00511,Pathway (map00511),8
ko00511,Pathway (ko00511),8
map04711,Pathway (map04711),8
ko04711,Pathway (ko04711),8
ko05216,Pathway (ko05216),8
map05216,Pathway (map05216),8
ko00625,Pathway (ko00625),8
map00625,Pathway (map00625),8
map04640,Pathway (map04640),8
ko04640,Pathway (ko04640),8
ko00512,Pathway (ko00512),8
map00512,Pathway (map00512),8
map00550,Pathway (map00550),8
ko00550,Pathway (ko00550),8
ko00400,Pathway (ko00400),8
map00400,Pathway (map00400),8
ko04122,Pathway (ko04122),8
map04122,Pathway (map04122),8
map00532,Pathway (map00532),7
ko00532,Pathway (ko00532),7
map00920,Pathway (map00920),7
ko00920,Pathway (ko00920),7
ko00524,Pathway (ko00524),7
map00524,Pathway (map00524),7
ko00072,Pathway (ko00072),7
map00072,Pathway (map00072),7
map00601,Pathway (map00601),7
ko00601,Pathway (ko00601),7
ko00100,Pathway (ko00100),7
map00100,Pathway (map00100),7
map05320,Pathway (map05320),6
ko05320,Pathway (ko05320),6
ko03450,Pathway (ko03450),6
map03450,Pathway (map03450),6
ko05340,Pathway (ko05340),6
map05340,Pathway (map05340),6
map00965,Pathway (map00965),6
ko00965,Pathway (ko00965),6
ko00603,Pathway (ko00603),6
map00603,Pathway (map00603),6
map00960,Pathway (map00960),6
ko00960,Pathway (ko00960),6
map00627,Pathway (map00627),5
ko00627,Pathway (ko00627),5
ko00626,Pathway (ko00626),5
map00626,Pathway (map00626),5
ko04112,Pathway (ko04112),5
map04112,Pathway (map04112),5
ko00471,Pathway (ko00471),5
map00471,Pathway (map00471),5
map00300,Pathway (map00300),4
ko00300,Pathway (ko00300),4
ko00254,Pathway (ko00254),4
map00254,Pathway (map00254),4
map00362,Pathway (map00362),4
ko00362,Pathway (ko00362),4
map00785,Pathway (map00785),4
ko00785,Pathway (ko00785),4
ko00643,Pathway (ko00643),4
map00643,Pathway (map00643),4
map05143,Pathway (map05143),4
ko05143,Pathway (ko05143),4
ko00750,Pathway (ko00750),4
map00750,Pathway (map00750),4
map00281,Pathway (map00281),4
ko00281,Pathway (ko00281),4
ko00440,Pathway (ko00440),3
map00440,Pathway (map00440),3
map00290,Pathway (map00290),3
ko00290,Pathway (ko00290),3
ko05321,Pathway (ko05321),3
map05321,Pathway (map05321),3
ko00401,Pathway (ko00401),3
map00401,Pathway (map00401),3
map00903,Pathway (map00903),3
ko00903,Pathway (ko00903),3
map00195,Pathway (map00195),3
ko00195,Pathway (ko00195),3
map00604,Pathway (map00604),3
ko00604,Pathway (ko00604),3
map00120,Pathway (map00120),2
ko00120,Pathway (ko00120),2
ko00333,Pathway (ko00333),2
map00333,Pathway (map00333),2
ko01503,Pathway (ko01503),2
map01503,Pathway (map01503),2
ko01051,Pathway (ko01051),2
map01051,Pathway (map01051),2
map00261,Pathway (map00261),2
ko00261,Pathway (ko00261),2
map01502,Pathway (map01502),2
ko01502,Pathway (ko01502),2
map05150,Pathway (map05150),2
ko05150,Pathway (ko05150),2
ko00660,Pathway (ko00660),2
map00660,Pathway (map00660),2
map00232,Pathway (map00232),1
ko00232,Pathway (ko00232),1
ko00944,Pathway (ko00944),1
map00944,Pathway (map00944),1
ko00791,Pathway (ko00791),1
map00791,Pathway (map00791),1
ko05111,Pathway (ko05111),1
ko02025,Pathway (ko02025),1
map02025,Pathway (map02025),1
map05111,Pathway (map05111),1
ko00473,Pathway (ko00473),1
map00473,Pathway (map00473),1
map00908,Pathway (map00908),1
ko00908,Pathway (ko00908),1
ko00940,Pathway (ko00940),1
map00940,Pathway (map00940),1
map00901,Pathway (map00901),1
ko00901,Pathway (ko00901),1
ko00533,Pathway (ko00533),1
map00533,Pathway (map00533),1
map01501,Pathway (map01501),1
ko01501,Pathway (ko01501),1
