Gene ID,Chr,Gene Name,Description,NPFM1,NPFM2,NPFM3,NPFM4,Avg Expression,Standard Deviation,Z-score_NPFM1,Z-score_NPFM2,Z-score_NPFM3,Z-score_NPFM4
NPIL_434741,BMAW01042729.1,Unknown,hypothetical protein,2,4,6,0,3.0,2.581988897471611,-0.37385880001837596,0.6655363623454603,0.9438292985429014,-1.2355068608699857
NPIL_434751,BMAW01042729.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_434761,BMAW01042729.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_434774,BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1,clasp1b,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_434772,BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1,clasp1b,hypothetical protein,0,0,2,0,0.5,1.0,-0.5,-0.5,1.5,-0.5
NPIL_434775,BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1,clasp1b,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_434773,BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1,clasp1b,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_434776,BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1,clasp1b,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_434771,BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1;BMAW01042729.1,clasp1b,hypothetical protein,0,0,6,0,1.5,3.0,-0.5,-0.5,1.5,-0.5
NPIL_434781,BMAW01042729.1,Unknown,hypothetical protein,0,4,14,0,4.5,6.60807586719967,-0.7279193970199799,0.06439343454063715,1.3914453594993226,-0.7279193970199799
NPIL_434791,BMAW01042729.1,Unknown,hypothetical protein,0,0,4,0,1.0,2.0,-0.5,-0.5,1.5,-0.5
NPIL_434801,BMAW01042729.1,Unknown,hypothetical protein,0,13,5,3,5.25,5.560275772537426,-0.9996570361393934,1.3799131876121262,-0.30019177180532003,-0.08006437966741276
NPIL_434811,BMAW01042729.1,Unknown,hypothetical protein,2,3,11,0,4.0,4.83045891539648,-0.41236580532919653,-0.08428948909794312,1.4101186103135495,-0.9134633158864093
NPIL_434821,BMAW01042729.1,Unknown,hypothetical protein,0,0,2,0,0.5,1.0,-0.5,-0.5,1.5,-0.5
NPIL_434831,BMAW01042729.1,Unknown,hypothetical protein,0,0,2,0,0.5,1.0,-0.5,-0.5,1.5,-0.5
NPIL_120691,BMAW01042733.1,RF55_19389,pol polyprotein,0,0,5,0,1.25,2.5,-0.5,-0.5,1.5,-0.5
